student_id,gender,subject_area,socioeconomic_band,prior_ai_experience,ai_training_completed,ai_confidence_score_1_5,actual_ai_use,writing_formality_score,paraphrase_similarity_score,source_citation_quality_score,detector_score,detection_flag,human_review_completed,misconduct_case_opened,appeal_submitted,appeal_successful,is_false_positive,is_false_negative,stress_test_note,actual_ai_use_binary,detection_flag_binary,false_positive_binary,false_negative_binary,appeal_success_binary,system_type,case_study
STUD00001,Male,STEM,Low,Medium,No,2.79,Yes,0.217,0.627,0.651,0.716,Yes,Yes,Yes,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00002,Male,STEM,High,Medium,Yes,4.46,No,0.513,0.25,0.873,0.499,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00003,Female,STEM,High,Low,No,3.02,No,0.278,0.474,0.52,0.133,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00004,Male,Education,Medium,Medium,Yes,3.16,Yes,0.544,0.719,0.709,0.791,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00005,Female,Business,Low,Low,No,1.82,Yes,0.344,0.598,0.523,0.494,No,No,No,No,No,No,Yes,Synthetic demonstration only - not real student data,1,0,0,1,0,ai_detection_tool,AI detection fairness stress test
STUD00006,Male,Business,High,High,No,5,Yes,0.656,0.736,0.616,0.808,Yes,No,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00007,Female,Health,High,Medium,No,3.15,No,0.64,0.364,0.788,0.387,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00008,Female,Social Sciences,Low,Medium,Yes,2.51,Yes,0.443,0.469,0.642,0.715,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00009,Male,Social Sciences,Low,High,No,3.61,Yes,0.419,0.664,0.562,0.585,Yes,No,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00010,Female,Arts & Humanities,High,Low,No,2.93,No,0.459,0.172,0.725,0.474,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00011,Male,Health,Low,Medium,Yes,4.88,No,0.605,0.443,0.486,0.55,Yes,No,Yes,No,No,Yes,No,Synthetic demonstration only - not real student data,0,1,1,0,0,ai_detection_tool,AI detection fairness stress test
STUD00012,Female,Health,Low,Medium,No,3.37,No,0.489,0.683,0.44,0.398,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00013,Male,Health,Medium,Low,No,2.59,No,0.381,0.408,0.638,0.227,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00014,Female,Business,Medium,Low,Yes,3.24,No,0.599,0.286,0.64,0.512,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00015,Female,STEM,Medium,High,Yes,3.85,Yes,0.276,0.841,0.809,0.578,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00016,Non-disclosed,STEM,Low,Medium,No,3.29,Yes,0.584,0.812,0.502,0.816,Yes,Yes,No,No,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00017,Female,Education,Low,Medium,No,3.78,No,0.158,0.433,0.462,0.192,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00018,Female,STEM,High,Medium,Yes,3.24,No,0.399,0.424,1,0.16,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00019,Male,Arts & Humanities,Medium,Low,No,2.29,No,0.505,0.516,0.634,0.126,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00020,Female,Social Sciences,Low,Low,No,2.33,No,0.608,0.405,0.654,0.315,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00021,Male,Arts & Humanities,Medium,Medium,No,3.95,No,0.557,0.391,0.73,0.257,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00022,Female,Health,Medium,Low,No,2.02,No,0.619,0.376,0.51,0.639,Yes,No,No,No,No,Yes,No,Synthetic demonstration only - not real student data,0,1,1,0,0,ai_detection_tool,AI detection fairness stress test
STUD00023,Female,STEM,Medium,High,No,4.54,Yes,0.501,0.762,0.491,0.576,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00024,Female,Arts & Humanities,Low,Medium,No,1.59,Yes,0.253,0.683,0.675,0.673,Yes,Yes,Yes,Yes,No,No,No,Synthetic demonstration only - not real student data,1,1,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00025,Male,STEM,Medium,High,Yes,4.36,No,0.564,0.585,0.492,0.394,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
STUD00026,Female,STEM,High,Low,No,1.91,No,0.608,0.269,0.55,0.393,No,No,No,No,No,No,No,Synthetic demonstration only - not real student data,0,0,0,0,0,ai_detection_tool,AI detection fairness stress test
