student_id,gender,subject_area,socioeconomic_band,ai_access_level,weekly_genai_use_hours,ai_confidence_score_1_5,ai_training_completed,career_ai_tool_used,assessment_score_after_ai_integration,academic_misconduct_flag,demo_note
SURV00001,Male,Health,Medium,Adequate,3.2,3.93,No,No,96.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00002,Female,Business,Low,Adequate,2.4,3.95,No,No,75.7,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00003,Female,STEM,Low,Adequate,0.5,3.45,No,No,70.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00004,Male,Health,Medium,Strong,7.0,4.27,No,No,88.5,Yes,Synthetic survey-style data for dashboard demonstration only
SURV00005,Female,Health,Medium,Adequate,2.3,3.28,Yes,No,75.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00006,Female,Education,Medium,Adequate,2.4,2.86,No,No,75.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00007,Male,Business,Medium,Limited,2.9,2.42,No,Yes,61.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00008,Female,Business,Low,Adequate,3.7,3.86,No,No,83.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00009,Female,Social Sciences,Low,Limited,0,2.09,No,No,68.1,No,Synthetic survey-style data for dashboard demonstration only
SURV00010,Female,Business,Medium,Adequate,3.7,3.28,No,Yes,84.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00011,Male,Arts & Humanities,Low,Adequate,5.0,3.24,Yes,No,93.5,No,Synthetic survey-style data for dashboard demonstration only
SURV00012,Male,STEM,Low,Limited,2.1,3.18,No,No,85.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00013,Male,STEM,Medium,Strong,8.6,4.07,No,No,75.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00014,Female,Education,Medium,Adequate,5.1,2.49,No,No,93.4,No,Synthetic survey-style data for dashboard demonstration only
SURV00015,Female,Health,Medium,Limited,2.3,2.46,Yes,No,88.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00016,Male,STEM,Medium,Limited,3.7,3.61,No,Yes,86.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00017,Female,Arts & Humanities,High,Adequate,4.4,4.34,Yes,No,73.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00018,Male,Education,Medium,Adequate,2.5,2.84,Yes,Yes,69.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00019,Female,STEM,Low,Strong,3.3,4.02,Yes,No,73.0,No,Synthetic survey-style data for dashboard demonstration only
SURV00020,Male,Social Sciences,Medium,Adequate,2.6,3.37,No,No,68.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00021,Female,Social Sciences,Low,Limited,0,1.08,No,No,71.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00022,Female,Arts & Humanities,Medium,Adequate,5.0,2.05,Yes,No,70.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00023,Male,Health,Medium,Strong,8.0,4.86,No,No,91.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00024,Female,Arts & Humanities,Medium,Adequate,3.1,3.41,No,No,73.3,No,Synthetic survey-style data for dashboard demonstration only
SURV00025,Female,STEM,High,Limited,1.0,2.05,Yes,Yes,76.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00026,Female,Arts & Humanities,Low,Adequate,3.0,2.61,Yes,Yes,85.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00027,Male,Education,Low,Adequate,2.8,2.64,Yes,No,74.2,No,Synthetic survey-style data for dashboard demonstration only
SURV00028,Female,Social Sciences,Medium,Strong,8.9,4.62,Yes,No,97.7,No,Synthetic survey-style data for dashboard demonstration only
SURV00029,Female,Education,Low,Adequate,3.1,4.79,Yes,No,80.9,No,Synthetic survey-style data for dashboard demonstration only
SURV00030,Male,Social Sciences,Medium,Adequate,6.4,3.86,No,No,84.8,No,Synthetic survey-style data for dashboard demonstration only
SURV00031,Female,Education,Medium,Adequate,4.1,2.97,No,No,75.9,No,Synthetic survey-style data for dashboard demonstration only
